,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,3P,3PA,3P%,2P,2PA,2P%
7,Year/Year,,-0.3%,1.7%,0.9%,0.004,-13.4%,-14.8%,0.012,0.1%,3.1%,2.1%,-1.4%,-6.8%,-9.5%,1.0%,4.5%,-1.4%,1991,17.8%,18.5%,-0.002,0.7%,-0.7%,0.007
0,Team,82.0,19880,3379,6866,0.492,1961,2490,0.788,1097,2543,3640,2188,715,448,1264,1746,8877,1992,158,458,0.345,3221,6408,0.503
1,Team/G,,242.4,41.2,83.7,0.492,23.9,30.4,0.788,13.4,31.0,44.4,26.7,8.7,5.5,15.4,21.3,108.3,1992,1.9,5.6,0.345,39.3,78.1,0.503
2,Lg Rank,,3,12,26,6.0,1,2,5.0,19,6,10,6,13,13,13,7,8,1992,18,20,6.0,10,17,4.0
3,Year/Year,,0.5%,5.1%,5.0%,0.0,0.5%,0.7%,-0.002,26.5%,2.8%,8.9%,-1.3%,9.7%,-0.7%,-3.1%,-2.8%,4.1%,1992,6.8%,0.0%,0.022,5.1%,5.4%,-0.002
4,Opponent,82.0,19880,3292,7178,0.459,1535,2056,0.747,1146,2255,3401,1925,646,458,1205,1958,8353,1992,234,695,0.337,3058,6483,0.472
5,Opponent/G,,242.4,40.1,87.5,0.459,18.7,25.1,0.747,14.0,27.5,41.5,23.5,7.9,5.6,14.7,23.9,101.9,1992,2.9,8.5,0.337,37.3,79.1,0.472
6,Lg Rank,,3,8,18,7.0,7,8,4.0,10,4,5,12,5,17,21,4,7,1992,23,23,15.0,8,12,6.0
7,Year/Year,,0.5%,2.3%,2.4%,-0.0,-5.0%,-1.6%,-0.026,4.1%,-1.0%,0.7%,3.6%,-5.8%,12.0%,-3.9%,-1.9%,1.2%,1992,14.1%,4.2%,0.029,1.5%,2.2%,-0.003
0,Team,82.0,19755,3336,6828,0.489,1907,2491,0.766,1041,2463,3504,2177,746,344,1270,1965,8709,1993,130,414,0.314,3206,6414,0.5
1,Team/G,,240.9,40.7,83.3,0.489,23.3,30.4,0.766,12.7,30.0,42.7,26.5,9.1,4.2,15.5,24.0,106.2,1993,1.6,5.0,0.314,39.1,78.2,0.5
2,Lg Rank,,22,14,23,4.0,3,4,9.0,20,11,17,3,10,25,10,17,11,1993,26,26,21.0,7,12,7.0
3,Year/Year,,-0.6%,-1.3%,-0.6%,-0.004,-2.8%,0.0%,-0.022,-5.1%,-3.1%,-3.7%,-0.5%,4.3%,-23.2%,0.5%,12.5%,-1.9%,1993,-17.7%,-9.6%,-0.031,-0.5%,0.1%,-0.003
4,Opponent,82.0,19755,3258,6970,0.467,1743,2343,0.744,1120,2314,3434,1928,648,468,1291,1970,8531,1993,272,836,0.325,2986,6134,0.487
5,Opponent/G,,240.9,39.7,85.0,0.467,21.3,28.6,0.744,13.7,28.2,41.9,23.5,7.9,5.7,15.7,24.0,104.0,1993,3.3,10.2,0.325,36.4,74.8,0.487
6,Lg Rank,,22,8,11,9.0,15,17,6.0,14,5,4,7,6,21,15,11,10,1993,21,27,6.0,5,7,12.0
7,Year/Year,,-0.6%,-1.0%,-2.9%,0.009,13.6%,14.0%,-0.003,-2.3%,2.6%,1.0%,0.2%,0.3%,2.2%,7.1%,0.6%,2.1%,1993,16.2%,20.3%,-0.011,-2.4%,-5.4%,0.015
0,Team,82.0,19830,3207,6729,0.477,1761,2379,0.74,1059,2385,3444,2179,751,364,1191,1988,8354,1994,179,559,0.32,3028,6170,0.491
1,Team/G,,241.8,39.1,82.1,0.477,21.5,29.0,0.74,12.9,29.1,42.0,26.6,9.2,4.4,14.5,24.2,101.9,1994,2.2,6.8,0.32,36.9,75.2,0.491
2,Lg Rank,,3,12,24,6.0,6,5,14.0,21,16,18,4,8,22,2,23,10,1994,25,24,21.0,9,13,8.0
3,Year/Year,,0.4%,-3.9%,-1.4%,-0.012,-7.7%,-4.5%,-0.025,1.7%,-3.2%,-1.7%,0.1%,0.7%,5.8%,-6.2%,1.2%,-4.1%,1994,37.7%,35.0%,0.006,-5.6%,-3.8%,-0.009
4,Opponent,82.0,19830,2973,6641,0.448,1773,2444,0.725,1100,2327,3427,1806,593,459,1318,1922,8008,1994,289,967,0.299,2684,5674,0.473
5,Opponent/G,,241.8,36.3,81.0,0.448,21.6,29.8,0.725,13.4,28.4,41.8,22.0,7.2,5.6,16.1,23.4,97.7,1994,3.5,11.8,0.299,32.7,69.2,0.473
6,Lg Rank,,3,3,7,5.0,23,22,8.0,10,10,10,4,1,19,13,5,9,1994,19,27,2.0,3,3,8.0
7,Year/Year,,0.4%,-8.7%,-4.7%,-0.02,1.7%,4.3%,-0.018,-1.8%,0.6%,-0.2%,-6.3%,-8.5%,-1.9%,2.1%,-2.4%,-6.1%,1994,6.3%,15.7%,-0.026,-10.1%,-7.5%,-0.014
0,Team,82.0,19780,3243,6339,0.512,1939,2483,0.781,874,2412,3286,2256,758,392,1289,2045,8726,1995,301,801,0.376,2942,5538,0.531
1,Team/G,,241.2,39.5,77.3,0.512,23.6,30.3,0.781,10.7,29.4,40.1,27.5,9.2,4.8,15.7,24.9,106.4,1995,3.7,9.8,0.376,35.9,67.5,0.531
2,Lg Rank,,21,5,24,1.0,2,3,1.0,26,8,20,2,4,16,8,21,5,1995,27,27,6.0,1,9,2.0
3,Year/Year,,-0.3%,1.1%,-5.8%,0.035,10.1%,4.4%,0.041,-17.5%,1.1%,-4.6%,3.5%,0.9%,7.7%,8.2%,2.9%,4.5%,1995,68.2%,43.3%,0.056,-2.8%,-10.2%,0.04
4,Opponent,82.0,19780,2845,6282,0.453,1835,2477,0.741,917,2125,3042,1713,648,429,1353,2053,8071,1995,546,1431,0.382,2299,4851,0.474
5,Opponent/G,,241.2,34.7,76.6,0.453,22.4,30.2,0.741,11.2,25.9,37.1,20.9,7.9,5.2,16.5,25.0,98.4,1995,6.7,17.5,0.382,28.0,59.2,0.474
6,Lg Rank,,21,3,2,3.0,24,23,18.0,3,1,1,2,9,15,9,4,7,1995,27,25,25.0,1,1,4.0
7,Year/Year,,-0.3%,-4.3%,-5.4%,0.005,3.5%,1.4%,0.015,-16.6%,-8.7%,-11.2%,-5.1%,9.3%,-6.5%,2.7%,6.8%,0.8%,1995,88.9%,48.0%,0.083,-14.3%,-14.5%,0.001
0,Team,82.0,19780,3129,6417,0.488,1769,2302,0.768,993,2373,3366,2139,667,418,1215,2046,8404,1996,377,1013,0.372,2752,5404,0.509
1,Team/G,,241.2,38.2,78.3,0.488,21.6,28.1,0.768,12.1,28.9,41.0,26.1,8.1,5.1,14.8,25.0,102.5,1996,4.6,12.4,0.372,33.6,65.9,0.509
2,Lg Rank,,17,8,23,1.0,6,8,4.0,16,15,15,1,10,13,7,27,11,1996,23,25,13.0,2,11,4.0
3,Year/Year,,0.0%,-3.5%,1.2%,-0.024,-8.8%,-7.3%,-0.012,13.6%,-1.6%,2.4%,-5.2%,-12.0%,6.6%,-5.7%,0.0%,-3.7%,1996,25.2%,26.5%,-0.004,-6.5%,-2.4%,-0.022
4,Opponent,82.0,19780,2747,6174,0.445,1820,2422,0.751,936,2149,3085,1640,584,409,1284,1983,7864,1996,550,1428,0.385,2197,4746,0.463
5,Opponent/G,,241.2,33.5,75.3,0.445,22.2,29.5,0.751,11.4,26.2,37.6,20.0,7.1,5.0,15.7,24.2,95.9,1996,6.7,17.4,0.385,26.8,57.9,0.463
6,Lg Rank,,17,3,2,7.0,25,26,25.0,4,3,3,2,5,15,17,7,6,1996,28,27,25.0,2,2,2.0
7,Year/Year,,0.0%,-3.4%,-1.7%,-0.008,-0.8%,-2.2%,0.011,2.1%,1.1%,1.4%,-4.3%,-9.9%,-4.7%,-5.1%,-3.4%,-2.6%,1996,0.7%,-0.2%,0.004,-4.4%,-2.2%,-0.011
0,Team,82.0,19830,3131,6217,0.504,1858,2416,0.769,889,2410,3299,2199,748,418,1259,1981,8454,1997,334,902,0.37,2797,5315,0.526
1,Team/G,,241.8,38.2,75.8,0.504,22.7,29.5,0.769,10.8,29.4,40.2,26.8,9.1,5.1,15.4,24.2,103.1,1997,4.1,11.0,0.37,34.1,64.8,0.526
2,Lg Rank,,15,4,27,1.0,1,2,3.0,28,8,18,1,3,12,12,28,2,1997,27,29,8.0,2,10,1.0
3,Year/Year,,0.3%,0.1%,-3.1%,0.016,5.0%,5.0%,0.001,-10.5%,1.6%,-2.0%,2.8%,12.1%,0.0%,3.6%,-3.2%,0.6%,1997,-11.4%,-11.0%,-0.002,1.6%,-1.6%,0.017
4,Opponent,82.0,19830,2708,6188,0.438,1796,2395,0.75,957,2101,3058,1593,639,373,1330,2045,7733,1997,521,1480,0.352,2187,4708,0.465
5,Opponent/G,,241.8,33.0,75.5,0.438,21.9,29.2,0.75,11.7,25.6,37.3,19.4,7.8,4.5,16.2,24.9,94.3,1997,6.4,18.0,0.352,26.7,57.4,0.465
6,Lg Rank,,15,4,2,6.0,29,29,25.0,4,1,2,3,8,10,9,1,8,1997,22,25,10.0,4,3,7.0
7,Year/Year,,0.3%,-1.4%,0.2%,-0.007,-1.3%,-1.1%,-0.002,2.2%,-2.2%,-0.9%,-2.9%,9.4%,-8.8%,3.6%,3.1%,-1.7%,1997,-5.3%,3.6%,-0.033,-0.5%,-0.8%,0.002
0,Team,82.0,19780,2993,6113,0.49,2044,2644,0.773,962,2405,3367,2070,648,412,1260,1961,8279,1998,249,670,0.372,2744,5443,0.504
1,Team/G,,241.2,36.5,74.5,0.49,24.9,32.2,0.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0,1998,3.0,8.2,0.372,33.5,66.4,0.504
2,Lg Rank,,21,10,29,1.0,1,2,1.0,26,11,18,2,19,16,16,27,3,1998,26,29,5.0,5,16,2.0
3,Year/Year,,-0.3%,-4.4%,-1.7%,-0.014,10.0%,9.4%,0.004,8.2%,-0.2%,2.1%,-5.9%,-13.4%,-1.4%,0.1%,-1.0%,-2.1%,1998,-25.4%,-25.7%,0.001,-1.9%,2.4%,-0.022
4,Opponent,82.0,19780,2806,6390,0.439,1730,2284,0.757,984,2012,2996,1690,645,423,1157,2133,7743,1998,401,1122,0.357,2405,5268,0.457
5,Opponent/G,,241.2,34.2,77.9,0.439,21.1,27.9,0.757,12.0,24.5,36.5,20.6,7.9,5.2,14.1,26.0,94.4,1998,4.9,13.7,0.357,29.3,64.2,0.457
6,Lg Rank,,21,7,8,9.0,26,23,29.0,4,1,1,6,9,19,26,2,13,1998,24,26,22.0,4,6,9.0
7,Year/Year,,-0.3%,3.6%,3.3%,0.002,-3.7%,-4.6%,0.008,2.8%,-4.2%,-2.0%,6.1%,0.9%,13.4%,-13.0%,4.3%,0.1%,1998,-23.0%,-24.2%,0.005,10.0%,11.9%,-0.008
0,Team,50.0,12175,1684,3620,0.465,1158,1510,0.767,555,1508,2063,1204,398,276,814,1133,4666,1999,140,388,0.361,1544,3232,0.478
1,Team/G,,243.5,33.7,72.4,0.465,23.2,30.2,0.767,11.1,30.2,41.3,24.1,8.0,5.5,16.3,22.7,93.3,1999,2.8,7.8,0.361,30.9,64.6,0.478
2,Lg Rank,,2,18,27,2.0,1,1,3.0,24,8,16,3,19,7,25,15,9,1999,27,28,8.0,9,17,5.0
3,Year/Year,,0.9%,-7.7%,-2.9%,-0.024,-7.1%,-6.3%,-0.006,-5.4%,2.8%,0.5%,-4.6%,0.7%,9.9%,5.9%,-5.2%,-7.6%,1999,-7.8%,-5.0%,-0.011,-7.7%,-2.6%,-0.026
4,Opponent,50.0,12175,1595,3863,0.413,936,1299,0.721,635,1294,1929,904,431,264,744,1309,4340,1999,214,666,0.321,1381,3197,0.432
5,Opponent/G,,243.5,31.9,77.3,0.413,18.7,26.0,0.721,12.7,25.9,38.6,18.1,8.6,5.3,14.9,26.2,86.8,1999,4.3,13.3,0.321,27.6,63.9,0.432
6,Lg Rank,,2,4,14,5.0,13,15,9.0,18,1,2,3,19,22,20,1,5,1999,10,19,6.0,7,11,4.0
7,Year/Year,,0.9%,-6.8%,-0.9%,-0.026,-11.3%,-6.7%,-0.037,5.8%,5.5%,5.6%,-12.3%,9.6%,2.4%,5.5%,0.6%,-8.1%,1999,-12.5%,-2.7%,-0.036,-5.8%,-0.5%,-0.025
0,Team,82.0,19755,2962,6380,0.464,1661,2150,0.773,936,2426,3362,2041,629,446,1220,2013,7914,2000,329,854,0.385,2633,5526,0.476
1,Team/G,,240.9,36.1,77.8,0.464,20.3,26.2,0.773,11.4,29.6,41.0,24.9,7.7,5.4,14.9,24.5,96.5,2000,4.0,10.4,0.385,32.1,67.4,0.476
2,Lg Rank,,22,23,27,4.0,3,8,9.0,22,23,24,3,16,10,10,24,20,2000,24,26,3.0,14,16,12.0
3,Year/Year,,-1.1%,7.3%,7.5%,-0.001,-12.5%,-13.2%,0.006,2.8%,-1.9%,-0.6%,3.4%,-3.6%,-1.5%,-8.6%,8.3%,3.4%,2000,43.3%,34.2%,0.024,4.0%,4.3%,-0.001
4,Opponent,82.0,19755,2781,6240,0.446,1598,2141,0.746,887,2236,3123,1620,588,411,1270,2023,7548,2000,388,1097,0.354,2393,5143,0.465
5,Opponent/G,,240.9,33.9,76.1,0.446,19.5,26.1,0.746,10.8,27.3,38.1,19.8,7.2,5.0,15.5,24.7,92.0,2000,4.7,13.4,0.354,29.2,62.7,0.465
6,Lg Rank,,22,2,1,11.0,18,19,12.0,2,2,1,4,3,12,13,5,5,2000,12,14,16.0,3,1,10.0
7,Year/Year,,-1.1%,6.3%,-1.5%,0.033,4.1%,0.5%,0.026,-14.8%,5.4%,-1.3%,9.3%,-16.8%,-5.1%,4.1%,-5.8%,6.0%,2000,10.6%,0.4%,0.032,5.7%,-1.9%,0.033
0,Team,82.0,19780,2960,6289,0.471,1714,2280,0.752,943,2383,3326,2110,661,463,1296,2107,7959,2001,325,852,0.381,2635,5437,0.485
1,Team/G,,241.2,36.1,76.7,0.471,20.9,27.8,0.752,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7,97.1,2001,4.0,10.4,0.381,32.1,66.3,0.485
2,Lg Rank,,21,11,26,1.0,1,3,16.0,19,25,23,1,12,9,24,29,10,2001,23,26,3.0,7,17,3.0
3,Year/Year,,0.1%,-0.1%,-1.4%,0.006,3.2%,6.0%,-0.021,0.7%,-1.8%,-1.1%,3.4%,5.1%,3.8%,6.2%,4.7%,0.6%,2001,-1.2%,-0.2%,-0.004,0.1%,-1.6%,0.008
4,Opponent,82.0,19780,2667,6076,0.439,1830,2391,0.765,874,2183,3057,1564,699,453,1320,2007,7574,2001,410,1194,0.343,2257,4882,0.462
5,Opponent/G,,241.2,32.5,74.1,0.439,22.3,29.2,0.765,10.7,26.6,37.3,19.1,8.5,5.5,16.1,24.5,92.4,2001,5.0,14.6,0.343,27.5,59.5,0.462
6,Lg Rank,,21,2,1,13.0,28,28,27.0,2,1,1,2,27,19,6,2,8,2001,17,24,7.0,2,1,18.0
7,Year/Year,,0.1%,-4.1%,-2.6%,-0.007,14.5%,11.7%,0.019,-1.5%,-2.4%,-2.1%,-3.5%,18.9%,10.2%,3.9%,-0.8%,0.3%,2001,5.7%,8.8%,-0.01,-5.7%,-5.1%,-0.003
0,Team,82.0,19830,2869,6374,0.45,1853,2430,0.763,1109,2349,3458,1999,749,523,1353,1971,7871,2002,280,842,0.333,2589,5532,0.468
1,Team/G,,241.8,35.0,77.7,0.45,22.6,29.6,0.763,13.5,28.6,42.2,24.4,9.1,6.4,16.5,24.0,96.0,2002,3.4,10.3,0.333,31.6,67.5,0.468
2,Lg Rank,,8,21,27,10.0,1,1,12.0,4,26,15,1,2,4,28,29,14,2002,28,27,24.0,10,13,14.0
3,Year/Year,,0.3%,-3.1%,1.4%,-0.021,8.1%,6.6%,0.011,17.6%,-1.4%,4.0%,-5.3%,13.3%,13.0%,4.4%,-6.5%,-1.1%,2002,-13.8%,-1.2%,-0.049,-1.7%,1.7%,-0.017
4,Opponent,82.0,19830,2777,6218,0.447,1779,2308,0.771,927,2204,3131,1585,748,548,1371,2069,7798,2002,465,1215,0.383,2312,5003,0.462
5,Opponent/G,,241.8,33.9,75.8,0.447,21.7,28.1,0.771,11.3,26.9,38.2,19.3,9.1,6.7,16.7,25.2,95.1,2002,5.7,14.8,0.383,28.2,61.0,0.462
6,Lg Rank,,8,3,1,15.0,29,29,27.0,4,1,1,4,28,28,1,1,13,2002,22,19,28.0,3,1,12.0
7,Year/Year,,0.3%,4.1%,2.3%,0.008,-2.8%,-3.5%,0.005,6.1%,1.0%,2.4%,1.3%,7.0%,21.0%,3.9%,3.1%,3.0%,2002,13.4%,1.8%,0.039,2.4%,2.5%,-0.0
0,Team,82.0,19780,2894,6189,0.468,1750,2349,0.745,1021,2381,3402,2103,708,467,1374,1837,7762,2003,224,641,0.349,2670,5548,0.481
1,Team/G,,241.2,35.3,75.5,0.468,21.3,28.6,0.745,12.5,29.0,41.5,25.6,8.6,5.7,16.8,22.4,94.7,2003,2.7,7.8,0.349,32.6,67.7,0.481
2,Lg Rank,,24,18,29,1.0,2,2,19.0,10,24,20,1,7,9,26,22,17,2003,29,29,15.0,4,11,4.0
3,Year/Year,,-0.3%,0.9%,-2.9%,0.017,-5.6%,-3.3%,-0.018,-7.9%,1.4%,-1.6%,5.2%,-5.5%,-10.7%,1.6%,-6.8%,-1.4%,2003,-20.0%,-23.9%,0.017,3.1%,0.3%,0.013
4,Opponent,82.0,19780,2751,6346,0.434,1627,2143,0.759,1011,2120,3131,1601,723,427,1305,1950,7566,2003,437,1252,0.349,2314,5094,0.454
5,Opponent/G,,241.2,33.5,77.4,0.434,19.8,26.1,0.759,12.3,25.9,38.2,19.5,8.8,5.2,15.9,23.8,92.3,2003,5.3,15.3,0.349,28.2,62.1,0.454
6,Lg Rank,,24,4,4,6.0,24,24,15.0,19,1,1,4,25,20,8,1,7,2003,17,20,16.0,3,6,8.0
7,Year/Year,,-0.3%,-0.9%,2.1%,-0.013,-8.5%,-7.1%,-0.012,9.1%,-3.8%,0.0%,1.0%,-3.3%,-22.1%,-4.8%,-5.8%,-3.0%,2003,-6.0%,3.0%,-0.034,0.1%,1.8%,-0.008
0,Team,82.0,19780,2690,6172,0.436,1639,2196,0.746,1103,2272,3375,1671,583,494,1365,2096,7271,2004,252,786,0.321,2438,5386,0.453
1,Team/G,,241.2,32.8,75.3,0.436,20.0,26.8,0.746,13.5,27.7,41.2,20.4,7.1,6.0,16.6,25.6,88.7,2004,3.1,9.6,0.321,29.7,65.7,0.453
2,Lg Rank,,19,27,29,17.0,4,4,21.0,5,29,22,20,24,6,27,29,27,2004,28,28,27.0,15,12,20.0
3,Year/Year,,0.0%,-7.0%,-0.3%,-0.032,-6.3%,-6.5%,0.001,8.0%,-4.6%,-0.8%,-20.5%,-17.7%,5.8%,-0.7%,14.1%,-6.3%,2004,12.5%,22.6%,-0.029,-8.7%,-2.9%,-0.029
4,Opponent,82.0,19780,2541,5879,0.432,1874,2431,0.771,868,2131,2999,1528,666,530,1262,1999,7371,2004,415,1209,0.343,2126,4670,0.455
5,Opponent/G,,241.2,31.0,71.7,0.432,22.9,29.6,0.771,10.6,26.0,36.6,18.6,8.1,6.5,15.4,24.4,89.9,2004,5.1,14.7,0.343,25.9,57.0,0.455
6,Lg Rank,,19,1,1,11.0,29,29,28.0,2,1,1,4,19,29,10,2,9,2004,10,12,15.0,1,1,12.0
7,Year/Year,,0.0%,-7.6%,-7.4%,-0.001,15.2%,13.4%,0.012,-14.1%,0.5%,-4.2%,-4.6%,-7.9%,24.1%,-3.3%,2.5%,-2.6%,2004,-5.0%,-3.4%,-0.006,-8.1%,-8.3%,0.001
0,Team,82.0,19780,2828,6301,0.449,1719,2272,0.757,1047,2243,3290,1826,541,374,1292,2189,7625,2005,250,762,0.328,2578,5539,0.465
1,Team/G,,241.2,34.5,76.8,0.449,21.0,27.7,0.757,12.8,27.4,40.1,22.3,6.6,4.6,15.8,26.7,93.0,2005,3.0,9.3,0.328,31.4,67.5,0.465
2,Lg Rank,,19,26,28,14.0,10,8,18.0,7,30,26,7,26,17,25,30,26,2005,29,29,28.0,13,9,18.0
3,Year/Year,,0.0%,5.1%,2.1%,0.013,4.9%,3.5%,0.01,-5.1%,-1.3%,-2.5%,9.3%,-7.2%,-24.3%,-5.3%,4.4%,4.9%,2005,-0.8%,-3.1%,0.007,5.7%,2.8%,0.013
4,Opponent,82.0,19780,2731,5965,0.458,2027,2653,0.764,859,2230,3089,1592,646,474,1182,2058,7975,2005,486,1297,0.375,2245,4668,0.481
5,Opponent/G,,241.2,33.3,72.7,0.458,24.7,32.4,0.764,10.5,27.2,37.7,19.4,7.9,5.8,14.4,25.1,97.3,2005,5.9,15.8,0.375,27.4,56.9,0.481
6,Lg Rank,,19,5,1,21.0,30,30,22.0,1,2,1,3,24,28,17,1,16,2005,24,16,28.0,2,1,22.0
7,Year/Year,,0.0%,7.5%,1.5%,0.026,8.2%,9.1%,-0.007,-1.0%,4.6%,3.0%,4.2%,-3.0%,-10.6%,-6.3%,3.0%,8.2%,2005,17.1%,7.3%,0.031,5.6%,-0.0%,0.026
0,Team,82.0,19880,2744,6207,0.442,1774,2466,0.719,1071,2380,3451,1772,524,492,1290,2032,7573,2006,311,925,0.336,2433,5282,0.461
1,Team/G,,242.4,33.5,75.7,0.442,21.6,30.1,0.719,13.1,29.0,42.1,21.6,6.4,6.0,15.7,24.8,92.4,2006,3.8,11.3,0.336,29.7,64.4,0.461
2,Lg Rank,,9,29,27,25.0,4,3,25.0,1,20,9,7,28,2,28,26,26,2006,26,26,26.0,21,10,28.0
3,Year/Year,,0.5%,-3.0%,-1.5%,-0.007,3.2%,8.5%,-0.037,2.3%,6.1%,4.9%,-3.0%,-3.1%,31.6%,-0.2%,-7.2%,-0.7%,2006,24.4%,21.4%,0.008,-5.6%,-4.6%,-0.005
4,Opponent,82.0,19880,2730,6077,0.449,1839,2466,0.746,871,2237,3108,1511,663,463,1166,2104,7789,2006,490,1297,0.378,2240,4780,0.469
5,Opponent/G,,242.4,33.3,74.1,0.449,22.4,30.1,0.746,10.6,27.3,37.9,18.4,8.1,5.6,14.2,25.7,95.0,2006,6.0,15.8,0.378,27.3,58.3,0.469
6,Lg Rank,,9,3,1,11.0,28,28,18.0,8,2,1,3,28,30,16,1,9,2006,17,12,28.0,2,1,11.0
7,Year/Year,,0.5%,-0.0%,1.9%,-0.009,-9.3%,-7.0%,-0.018,1.4%,0.3%,0.6%,-5.1%,2.6%,-2.3%,-1.4%,2.2%,-2.3%,2006,0.8%,0.0%,0.003,-0.2%,2.4%,-0.012
0,Team,82.0,19805,3069,6471,0.474,1830,2462,0.743,1030,2456,3486,2024,577,339,1277,2067,8322,2007,354,1056,0.335,2715,5415,0.501
1,Team/G,,241.5,37.4,78.9,0.474,22.3,30.0,0.743,12.6,30.0,42.5,24.7,7.0,4.1,15.6,25.2,101.5,2007,4.3,12.9,0.335,33.1,66.0,0.501
2,Lg Rank,,20,7,18,2.0,4,2,20.0,3,16,7,2,20,22,20,30,7,2007,26,26,29.0,1,4,6.0
3,Year/Year,,-0.4%,11.8%,4.3%,0.032,3.2%,-0.2%,0.024,-3.8%,3.2%,1.0%,14.2%,10.1%,-31.1%,-1.0%,1.7%,9.9%,2007,13.8%,14.2%,-0.001,11.6%,2.5%,0.041
4,Opponent,82.0,19805,2819,6191,0.455,1943,2534,0.767,813,2223,3036,1552,623,438,1230,2010,8087,2007,506,1424,0.355,2313,4767,0.485
5,Opponent/G,,241.5,34.4,75.5,0.455,23.7,30.9,0.767,9.9,27.1,37.0,18.9,7.6,5.3,15.0,24.5,98.6,2007,6.2,17.4,0.355,28.2,58.1,0.485
6,Lg Rank,,20,5,1,11.0,30,30,27.0,3,2,1,4,24,28,18,1,17,2007,16,15,15.0,3,1,13.0
