,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,3P,3PA,3P%,2P,2PA,2P%
7,Year/Year,,-0.4%,3.3%,1.9%,0.006,5.7%,2.8%,0.021,-6.7%,-0.6%,-2.3%,2.7%,-6.0%,-5.4%,5.5%,-4.5%,3.8%,2007,3.3%,9.8%,-0.022,3.3%,-0.3%,0.017
0,Team,82.0,19705,3279,6592,0.497,1745,2298,0.759,942,2410,3352,2165,717,355,1200,1970,8710,2008,407,1095,0.372,2872,5497,0.522
1,Team/G,,240.3,40.0,80.4,0.497,21.3,28.0,0.759,11.5,29.4,40.9,26.4,8.7,4.3,14.6,24.0,106.2,2008,5.0,13.4,0.372,35.0,67.0,0.522
2,Lg Rank,,30,4,18,2.0,4,2,16.0,13,26,24,2,3,22,19,30,5,2008,26,26,10.0,1,5,2.0
3,Year/Year,,-0.5%,6.8%,1.9%,0.023,-4.6%,-6.7%,0.016,-8.5%,-1.9%,-3.8%,7.0%,24.3%,4.7%,-6.0%,-4.7%,4.7%,2008,15.0%,3.7%,0.036,5.8%,1.5%,0.021
4,Opponent,82.0,19705,2896,6286,0.461,1848,2468,0.749,844,2256,3100,1629,619,420,1305,1891,8146,2008,506,1419,0.357,2390,4867,0.491
5,Opponent/G,,240.3,35.3,76.7,0.461,22.5,30.1,0.749,10.3,27.5,37.8,19.9,7.5,5.1,15.9,23.1,99.3,2008,6.2,17.3,0.357,29.1,59.4,0.491
6,Lg Rank,,30,5,2,17.0,29,30,8.0,5,1,1,7,17,22,4,4,13,2008,8,8,10.0,5,3,19.0
7,Year/Year,,-0.5%,2.7%,1.5%,0.005,-4.9%,-2.6%,-0.018,3.8%,1.5%,2.1%,5.0%,-0.6%,-4.1%,6.1%,-5.9%,0.7%,2008,0.0%,-0.4%,0.001,3.3%,2.1%,0.006
0,Team,82.0,19880,3143,6623,0.475,1814,2352,0.771,940,2423,3363,2024,719,374,1210,1830,8492,2009,392,1122,0.349,2751,5501,0.5
1,Team/G,,242.4,38.3,80.8,0.475,22.1,28.7,0.771,11.5,29.5,41.0,24.7,8.8,4.6,14.8,22.3,103.6,2009,4.8,13.7,0.349,33.5,67.1,0.5
2,Lg Rank,,7,6,16,3.0,3,3,13.0,11,19,19,1,1,21,22,23,7,2009,27,26,27.0,3,4,4.0
3,Year/Year,,0.9%,-4.1%,0.5%,-0.023,4.0%,2.3%,0.012,-0.2%,0.5%,0.3%,-6.5%,0.3%,5.4%,0.8%,-7.1%,-2.5%,2009,-3.7%,2.5%,-0.022,-4.2%,0.1%,-0.022
4,Opponent,82.0,19880,3019,6509,0.464,1703,2233,0.763,908,2393,3301,1640,658,424,1323,1972,8275,2009,534,1479,0.361,2485,5030,0.494
5,Opponent/G,,242.4,36.8,79.4,0.464,20.8,27.2,0.763,11.1,29.2,40.3,20.0,8.0,5.2,16.1,24.0,100.9,2009,6.5,18.0,0.361,30.3,61.3,0.494
6,Lg Rank,,7,17,12,20.0,24,25,11.0,18,8,9,9,27,21,2,1,18,2009,12,14,12.0,15,12,22.0
7,Year/Year,,0.9%,4.2%,3.5%,0.003,-7.8%,-9.5%,0.014,7.6%,6.1%,6.5%,0.7%,6.3%,1.0%,1.4%,4.3%,1.6%,2009,5.5%,4.2%,0.004,4.0%,3.3%,0.003
0,Team,82.0,19755,3227,6575,0.491,1654,2233,0.741,872,2588,3460,2187,675,400,1246,1859,8547,2010,439,1207,0.364,2788,5368,0.519
1,Team/G,,240.9,39.4,80.2,0.491,20.2,27.2,0.741,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7,104.2,2010,5.4,14.7,0.364,34.0,65.5,0.519
2,Lg Rank,,25,3,23,2.0,3,2,23.0,20,9,12,1,4,16,26,29,4,2010,23,25,7.0,2,10,5.0
3,Year/Year,,-0.6%,2.7%,-0.7%,0.016,-8.8%,-5.1%,-0.031,-7.2%,6.8%,2.9%,8.1%,-6.1%,7.0%,3.0%,1.6%,0.6%,2010,12.0%,7.6%,0.014,1.3%,-2.4%,0.019
4,Opponent,82.0,19755,2908,6471,0.449,1741,2286,0.762,837,2376,3213,1628,632,445,1238,1818,8109,2010,552,1559,0.354,2356,4912,0.48
5,Opponent/G,,240.9,35.5,78.9,0.449,21.2,27.9,0.762,10.2,29.0,39.2,19.9,7.7,5.4,15.1,22.2,98.9,2010,6.7,19.0,0.354,28.7,59.9,0.48
6,Lg Rank,,25,4,6,8.0,28,28,19.0,7,4,3,8,23,26,5,5,12,2010,20,22,16.0,3,4,10.0
7,Year/Year,,-0.6%,-3.7%,-0.6%,-0.014,2.2%,2.4%,-0.001,-7.8%,-0.7%,-2.7%,-0.7%,-4.0%,5.0%,-6.4%,-7.8%,-2.0%,2010,3.4%,5.4%,-0.007,-5.2%,-2.3%,-0.014
0,Team,82.0,19880,3064,6590,0.465,1590,2061,0.771,898,2338,3236,1921,629,484,1175,1865,8153,2011,435,1256,0.346,2629,5334,0.493
1,Team/G,,242.4,37.4,80.4,0.465,19.4,25.1,0.771,11.0,28.5,39.5,23.4,7.7,5.9,14.3,22.7,99.4,2011,5.3,15.3,0.346,32.1,65.0,0.493
2,Lg Rank,,6,15,21,9.0,7,9,9.0,16,28,26,4,7,3,20,30,14,2011,24,22,20.0,6,8,14.0
3,Year/Year,,0.6%,-5.1%,0.2%,-0.026,-3.9%,-7.7%,0.031,3.0%,-9.7%,-6.5%,-12.2%,-6.8%,21.0%,-5.7%,0.3%,-4.6%,2011,-0.9%,4.1%,-0.017,-5.7%,-0.6%,-0.026
4,Opponent,82.0,19880,2967,6460,0.459,1777,2285,0.778,925,2426,3351,1700,609,411,1199,1802,8303,2011,592,1573,0.376,2375,4887,0.486
5,Opponent/G,,242.4,36.2,78.8,0.459,21.7,27.9,0.778,11.3,29.6,40.9,20.7,7.4,5.0,14.6,22.0,101.3,2011,7.2,19.2,0.376,29.0,59.6,0.486
6,Lg Rank,,6,9,6,17.0,30,30,27.0,22,9,14,11,18,19,9,3,19,2011,28,20,29.0,5,4,13.0
7,Year/Year,,0.6%,2.0%,-0.2%,0.01,2.1%,-0.0%,0.016,10.5%,2.1%,4.3%,4.4%,-3.6%,-7.6%,-3.2%,-0.9%,2.4%,2011,7.2%,0.9%,0.022,0.8%,-0.5%,0.006
0,Team,66.0,16165,2523,5531,0.456,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577,2012,273,845,0.323,2250,4686,0.48
1,Team/G,,244.9,38.2,83.8,0.456,19.1,25.3,0.754,13.0,31.1,44.2,21.8,8.3,5.8,14.2,21.8,99.7,2012,4.1,12.8,0.323,34.1,71.0,0.48
2,Lg Rank,,1,3,4,9.0,5,4,17.0,3,14,3,11,8,4,12,29,4,2012,28,29,27.0,1,1,13.0
3,Year/Year,,1.0%,2.3%,4.3%,-0.009,-1.7%,0.6%,-0.017,19.1%,9.2%,12.0%,-6.9%,7.7%,-1.2%,-1.0%,-4.0%,0.2%,2012,-22.0%,-16.4%,-0.023,6.3%,9.1%,-0.013
4,Opponent,66.0,16165,2403,5310,0.453,1302,1727,0.754,728,1988,2716,1355,494,375,968,1366,6536,2012,428,1259,0.34,1975,4051,0.488
5,Opponent/G,,244.9,36.4,80.5,0.453,19.7,26.2,0.754,11.0,30.1,41.2,20.5,7.5,5.7,14.7,20.7,99.0,2012,6.5,19.1,0.34,29.9,61.4,0.488
6,Lg Rank,,1,15,13,19.0,29,29,16.0,11,10,10,15,7,23,15,7,23,2012,17,22,8.0,13,10,22.0
7,Year/Year,,1.0%,0.6%,2.1%,-0.007,-9.0%,-6.1%,-0.024,-2.2%,1.8%,0.7%,-1.0%,0.8%,13.4%,0.3%,-5.8%,-2.2%,2012,-10.2%,-0.6%,-0.036,3.3%,3.0%,0.002
0,Team,82.0,19880,3046,6710,0.454,1439,1883,0.764,989,2457,3446,1859,690,515,1210,1750,8038,2013,507,1385,0.366,2539,5325,0.477
1,Team/G,,242.4,37.1,81.8,0.454,17.5,23.0,0.764,12.1,30.0,42.0,22.7,8.4,6.3,14.8,21.3,98.0,2013,6.2,16.9,0.366,31.0,64.9,0.477
2,Lg Rank,,4,15,12,12.0,9,11,12.0,9,22,14,13,7,5,19,28,13,2013,23,28,8.0,8,8,17.0
3,Year/Year,,-1.0%,-2.8%,-2.4%,-0.002,-7.9%,-9.1%,0.01,-7.5%,-3.8%,-4.9%,4.0%,1.9%,7.7%,4.0%,-2.3%,-1.6%,2013,49.5%,31.9%,0.043,-9.2%,-8.5%,-0.003
4,Opponent,82.0,19880,3003,6550,0.458,1479,1953,0.757,901,2446,3347,1689,640,480,1206,1670,8045,2013,560,1513,0.37,2443,5037,0.485
5,Opponent/G,,242.4,36.6,79.9,0.458,18.0,23.8,0.757,11.0,29.8,40.8,20.6,7.8,5.9,14.7,20.4,98.1,2013,6.8,18.5,0.37,29.8,61.4,0.485
6,Lg Rank,,4,11,7,20.0,27,23,17.0,11,9,7,7,14,23,16,11,15,2013,11,8,24.0,14,11,17.0
7,Year/Year,,-1.0%,0.6%,-0.7%,0.006,-8.6%,-9.0%,0.003,-0.4%,-1.0%,-0.8%,0.3%,4.3%,3.0%,0.3%,-1.6%,-0.9%,2013,5.3%,-3.3%,0.03,-0.4%,0.1%,-0.003
0,Team,82.0,19780,2951,6652,0.444,1346,1803,0.747,904,2477,3381,1664,570,366,1200,1699,7791,2014,543,1577,0.344,2408,5075,0.474
1,Team/G,,241.2,36.0,81.1,0.444,16.4,22.0,0.747,11.0,30.2,41.2,20.3,7.0,4.5,14.6,20.7,95.0,2014,6.6,19.2,0.344,29.4,61.9,0.474
2,Lg Rank,,22,27,25,24.0,23,21,22.0,16,26,23,26,26,20,14,17,29,2014,24,23,25.0,20,16,24.0
3,Year/Year,,-0.5%,-3.1%,-0.9%,-0.01,-6.5%,-4.2%,-0.018,-8.6%,0.8%,-1.9%,-10.5%,-17.4%,-28.9%,-0.8%,-2.9%,-3.1%,2014,7.1%,13.9%,-0.022,-5.2%,-4.7%,-0.002
4,Opponent,82.0,19780,3138,6639,0.473,1504,1945,0.773,846,2640,3486,1788,617,401,1034,1673,8379,2014,599,1591,0.376,2539,5048,0.503
5,Opponent/G,,241.2,38.3,81.0,0.473,18.3,23.7,0.773,10.3,32.2,42.5,21.8,7.5,4.9,12.6,20.4,102.2,2014,7.3,19.4,0.376,31.0,61.6,0.503
6,Lg Rank,,22,21,8,30.0,16,15,30.0,7,21,14,14,13,17,29,17,18,2014,10,7,28.0,22,16,24.0
7,Year/Year,,-0.5%,4.5%,1.4%,0.014,1.7%,-0.4%,0.016,-6.1%,7.9%,4.2%,5.9%,-3.6%,-16.5%,-14.3%,0.2%,4.2%,2014,7.0%,5.2%,0.006,3.9%,0.2%,0.018
0,Team,82.0,19705,2900,6492,0.447,1391,1929,0.721,988,2617,3605,1632,623,489,1256,1583,7801,2015,610,1781,0.343,2290,4711,0.486
1,Team/G,,240.3,35.4,79.2,0.447,17.0,23.5,0.721,12.0,31.9,44.0,19.9,7.6,6.0,15.3,19.3,95.1,2015,7.4,21.7,0.343,27.9,57.5,0.486
2,Lg Rank,,30,27,29,19.0,14,13,26.0,4,20,11,29,16,3,26,12,26,2015,18,17,19.0,27,24,15.0
3,Year/Year,,-0.4%,-1.7%,-2.4%,0.003,3.3%,7.0%,-0.025,9.3%,5.7%,6.6%,-1.9%,9.3%,33.6%,4.7%,-6.8%,0.1%,2015,12.3%,12.9%,-0.002,-4.9%,-7.2%,0.012
4,Opponent,82.0,19705,2935,6587,0.446,1309,1760,0.744,811,2406,3217,1594,674,382,1076,1604,7783,2015,604,1670,0.362,2331,4917,0.474
5,Opponent/G,,240.3,35.8,80.3,0.446,16.0,21.5,0.744,9.9,29.3,39.2,19.4,8.2,4.7,13.1,19.6,94.9,2015,7.4,20.4,0.362,28.4,60.0,0.474
6,Lg Rank,,30,2,2,14.0,10,12,8.0,3,1,1,1,24,13,23,22,1,2015,7,5,25.0,7,11,8.0
7,Year/Year,,-0.4%,-6.5%,-0.8%,-0.027,-13.0%,-9.5%,-0.03,-4.1%,-8.9%,-7.7%,-10.9%,9.2%,-4.7%,4.1%,-4.1%,-7.1%,2015,0.8%,5.0%,-0.015,-8.2%,-2.6%,-0.029
0,Team,82.0,19955,2957,6593,0.449,1402,1885,0.744,880,2665,3545,1555,631,425,1224,1655,8010,2016,694,1956,0.355,2263,4637,0.488
1,Team/G,,243.4,36.1,80.4,0.449,17.1,23.0,0.744,10.7,32.5,43.2,19.0,7.7,5.2,14.9,20.2,97.7,2016,8.5,23.9,0.355,27.6,56.5,0.488
2,Lg Rank,,2,29,30,18.0,19,16,24.0,10,23,18,28,18,14,21,12,28,2016,16,15,12.0,25,22,16.0
3,Year/Year,,1.3%,2.0%,1.6%,0.002,0.8%,-2.3%,0.023,-10.9%,1.8%,-1.7%,-4.7%,1.3%,-13.1%,-2.5%,4.5%,2.7%,2016,13.8%,9.8%,0.012,-1.2%,-1.6%,0.002
4,Opponent,82.0,19955,2920,6549,0.446,1374,1842,0.746,764,2522,3286,1568,652,385,1146,1629,7863,2016,649,1819,0.357,2271,4730,0.48
5,Opponent/G,,243.4,35.6,79.9,0.446,16.8,22.5,0.746,9.3,30.8,40.1,19.1,8.0,4.7,14.0,19.9,95.9,2016,7.9,22.2,0.357,27.7,57.7,0.48
6,Lg Rank,,2,1,2,13.0,9,9,7.0,6,2,1,1,18,12,17,18,2,2016,10,5,18.0,2,3,10.0
7,Year/Year,,1.3%,-0.5%,-0.6%,0.0,5.0%,4.7%,0.002,-5.8%,4.8%,2.1%,-1.6%,-3.3%,0.8%,6.5%,1.6%,1.0%,2016,7.5%,8.9%,-0.005,-2.6%,-3.8%,0.006
0,Team,82.0,19755,3033,6515,0.466,1401,1875,0.747,771,2774,3545,1651,550,410,1118,1545,8258,2017,791,2128,0.372,2242,4387,0.511
1,Team/G,,240.9,37.0,79.5,0.466,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7,2017,9.6,26.0,0.372,27.3,53.5,0.511
2,Lg Rank,,25,28,30,9.0,22,16,24.0,19,13,19,28,29,8,13,8,28,2017,13,17,9.0,24,26,9.0
3,Year/Year,,-1.0%,2.6%,-1.2%,0.017,-0.1%,-0.5%,0.003,-12.4%,4.1%,0.0%,6.2%,-12.8%,-3.5%,-8.7%,-6.6%,3.1%,2017,14.0%,8.8%,0.017,-0.9%,-5.4%,0.023
4,Opponent,82.0,19755,2978,6723,0.443,1308,1701,0.769,742,2554,3296,1463,598,312,995,1655,7935,2017,671,1874,0.358,2307,4849,0.476
5,Opponent/G,,240.9,36.3,82.0,0.443,16.0,20.7,0.769,9.0,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8,2017,8.2,22.9,0.358,28.1,59.1,0.476
6,Lg Rank,,25,2,3,2.0,6,6,10.0,4,2,1,1,8,3,29,12,1,2017,3,2,17.0,9,15,1.0
7,Year/Year,,-1.0%,2.0%,2.7%,-0.003,-4.8%,-7.7%,0.023,-2.9%,1.3%,0.3%,-6.7%,-8.3%,-19.0%,-13.2%,1.6%,0.9%,2017,3.4%,3.0%,0.001,1.6%,2.5%,-0.004
0,Team,82.0,19755,3139,6797,0.462,1375,1766,0.779,740,2807,3547,1839,708,420,1205,1608,8540,2018,887,2425,0.366,2252,4372,0.515
1,Team/G,,240.9,38.3,82.9,0.462,16.8,21.5,0.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,2018,10.8,29.6,0.366,27.5,53.3,0.515
2,Lg Rank,,18,26,29,13.0,14,15,12.0,23,11,20,21,4,9,20,16,19,2018,13,13,12.0,25,26,12.0
3,Year/Year,,0.0%,3.5%,4.3%,-0.004,-1.9%,-5.8%,0.031,-4.0%,1.2%,0.1%,11.4%,28.7%,2.4%,7.8%,4.1%,3.4%,2018,12.1%,14.0%,-0.006,0.4%,-0.3%,0.004
4,Opponent,82.0,19755,3057,6804,0.449,1295,1680,0.771,710,2702,3412,1636,678,380,1224,1683,8187,2018,778,2131,0.365,2279,4673,0.488
5,Opponent/G,,240.9,37.3,83.0,0.449,15.8,20.5,0.771,8.7,33.0,41.6,20.0,8.3,4.6,14.9,20.5,99.8,2018,9.5,26.0,0.365,27.8,57.0,0.488
6,Lg Rank,,18,2,3,6.0,8,10,19.0,3,10,1,1,24,11,6,8,1,2018,5,3,17.0,4,15,4.0
7,Year/Year,,0.0%,2.7%,1.2%,0.006,-1.0%,-1.2%,0.002,-4.3%,5.8%,3.5%,11.8%,13.4%,21.8%,23.0%,1.7%,3.2%,2018,15.9%,13.7%,0.007,-1.2%,-3.6%,0.012
0,Team,82.0,19755,3314,7082,0.468,1540,2092,0.736,820,2981,3801,2133,663,483,1240,1728,9161,2019,993,2789,0.356,2321,4293,0.541
1,Team/G,,240.9,40.4,86.4,0.468,18.8,25.5,0.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7,2019,12.1,34.0,0.356,28.3,52.4,0.541
2,Lg Rank,,24,19,29,10.0,8,3,26.0,18,5,9,8,12,3,27,18,17,2019,9,9,10.0,23,28,6.0
3,Year/Year,,0.0%,5.6%,4.2%,0.006,12.0%,18.5%,-0.042,10.8%,6.2%,7.2%,16.0%,-6.4%,15.0%,2.9%,7.5%,7.3%,2019,12.0%,15.0%,-0.01,3.1%,-1.8%,0.026
4,Opponent,82.0,19755,3276,7253,0.452,1372,1822,0.753,733,2762,3495,1770,695,376,1136,1835,8730,2019,806,2273,0.355,2470,4980,0.496
5,Opponent/G,,240.9,40.0,88.5,0.452,16.7,22.2,0.753,8.9,33.7,42.6,21.6,8.5,4.6,13.9,22.4,106.5,2019,9.8,27.7,0.355,30.1,60.7,0.496
6,Lg Rank,,24,8,11,8.0,7,9,2.0,1,6,2,1,27,9,15,4,4,2019,2,1,15.0,17,27,3.0
7,Year/Year,,0.0%,7.2%,6.6%,0.002,5.9%,8.5%,-0.018,3.2%,2.2%,2.4%,8.2%,2.5%,-1.1%,-7.2%,9.0%,6.6%,2019,3.6%,6.7%,-0.01,8.4%,6.6%,0.008
0,Team,72.0,17355,2886,6130,0.471,1278,1641,0.779,656,2577,3233,1615,438,292,1089,1468,8013,2020,963,2537,0.38,1923,3593,0.535
1,Team/G,,241.0,40.1,85.1,0.471,17.8,22.8,0.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,2020,13.4,35.2,0.38,26.7,49.9,0.535
2,Lg Rank,,19,22,29,6.0,16,19,15.0,26,8,13,26,30,28,21,12,18,2020,7,10,1.0,25,27,5.0
3,Year/Year,,0.1%,-0.8%,-1.4%,0.003,-5.5%,-10.7%,0.043,-8.9%,-1.5%,-3.1%,-13.8%,-24.8%,-31.1%,0.0%,-3.2%,-0.4%,2020,10.4%,3.6%,0.024,-5.6%,-4.7%,-0.005
4,Opponent,72.0,17355,2930,6417,0.457,1185,1545,0.767,688,2386,3074,1548,566,329,889,1501,7835,2020,790,2235,0.353,2140,4182,0.512
5,Opponent/G,,241.0,40.7,89.1,0.457,16.5,21.5,0.767,9.6,33.1,42.7,21.5,7.9,4.6,12.3,20.8,108.8,2020,11.0,31.0,0.353,29.7,58.1,0.512
6,Lg Rank,,19,15,17,12.0,7,8,10.0,9,4,5,1,19,10,29,14,9,2020,3,3,14.0,23,28,10.0
7,Year/Year,,0.1%,1.9%,0.8%,0.005,-1.6%,-3.4%,0.014,6.9%,-1.6%,0.2%,-0.4%,-7.3%,-0.3%,-10.9%,-6.8%,2.2%,2020,11.6%,12.0%,-0.001,-1.3%,-4.4%,0.016
0,Team,72.0,17355,2971,6344,0.468,1235,1546,0.799,765,2709,3474,1703,474,371,1023,1335,8382,2021,1205,3098,0.389,1766,3246,0.544
1,Team/G,,241.0,41.3,88.1,0.468,17.2,21.5,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,2021,16.7,43.0,0.389,24.5,45.1,0.544
2,Lg Rank,,19,17,18,16.0,12,14,8.0,4,2,1,23,29,8,18,8,4,2021,1,1,4.0,30,30,9.0
3,Year/Year,,0.0%,2.9%,3.5%,-0.002,-3.4%,-5.8%,0.02,16.6%,5.1%,7.5%,5.4%,8.2%,27.1%,-6.1%,-9.1%,4.6%,2021,25.1%,22.1%,0.009,-8.2%,-9.7%,0.009
4,Opponent,72.0,17355,2943,6581,0.447,1047,1364,0.768,706,2362,3068,1604,554,282,827,1365,7716,2021,783,2293,0.341,2160,4288,0.504
5,Opponent/G,,241.0,40.9,91.4,0.447,14.5,18.9,0.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2,2021,10.9,31.8,0.341,30.0,59.6,0.504
6,Lg Rank,,19,12,27,2.0,2,2,7.0,15,5,7,1,19,3,30,17,3,2021,1,3,2.0,25,29,1.0
7,Year/Year,,0.0%,0.4%,2.6%,-0.009,-11.6%,-11.7%,0.001,2.6%,-1.0%,-0.2%,3.6%,-2.1%,-14.3%,-7.0%,-9.1%,-1.5%,2021,-0.9%,2.6%,-0.012,0.9%,2.5%,-0.008
0,Team,82.0,19730,3327,7067,0.471,1470,1916,0.767,884,2916,3800,1836,588,402,1149,1547,9316,2022,1192,3308,0.36,2135,3759,0.568
1,Team/G,,240.6,40.6,86.2,0.471,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6,2022,14.5,40.3,0.36,26.0,45.8,0.568
2,Lg Rank,,24,15,25,6.0,6,4,20.0,10,3,3,27,20,11,16,10,7,2022,2,2,11.0,26,30,2.0
3,Year/Year,,-0.2%,-1.7%,-2.2%,0.002,4.5%,8.8%,-0.032,1.5%,-5.5%,-4.0%,-5.3%,8.9%,-4.9%,-1.4%,1.7%,-2.4%,2022,-13.1%,-6.2%,-0.029,6.2%,1.7%,0.024
4,Opponent,82.0,19730,3314,7318,0.453,1199,1581,0.758,809,2599,3408,1917,636,352,982,1664,8821,2022,994,2837,0.35,2320,4481,0.518
5,Opponent/G,,240.6,40.4,89.2,0.453,14.6,19.3,0.758,9.9,31.7,41.6,23.4,7.8,4.3,12.0,20.3,107.6,2022,12.1,34.6,0.35,28.3,54.6,0.518
6,Lg Rank,,24,13,21,9.0,1,1,4.0,9,1,1,5,19,8,29,8,10,2022,14,13,13.0,18,23,6.0
7,Year/Year,,-0.2%,-1.1%,-2.4%,0.006,0.6%,1.8%,-0.009,0.6%,-3.4%,-2.5%,4.9%,0.8%,9.6%,4.3%,7.0%,0.4%,2022,11.5%,8.6%,0.009,-5.7%,-8.2%,0.014
0,Team,82.0,19805,3485,7365,0.473,1536,1955,0.786,968,2794,3762,2129,500,429,1259,1679,9600,2023,1094,3099,0.353,2391,4266,0.56
1,Team/G,,241.5,42.5,89.8,0.473,18.7,23.8,0.786,11.8,34.1,45.9,26.0,6.1,5.2,15.4,20.5,117.1,2023,13.3,37.8,0.353,29.2,52.0,0.56
2,Lg Rank,,18,12,10,18.0,13,12,14.0,6,6,5,10,30,7,28,21,7,2023,7,5,20.0,19,21,7.0
3,Year/Year,,0.4%,4.7%,4.2%,0.002,4.5%,2.0%,0.018,9.5%,-4.2%,-1.0%,16.0%,-15.0%,6.7%,9.6%,8.5%,3.0%,2023,-8.2%,-6.3%,-0.007,12.0%,13.5%,-0.007
4,Opponent,82.0,19805,3555,7515,0.473,1544,1989,0.776,919,2644,3563,2047,639,405,1030,1679,9677,2023,1023,2830,0.361,2532,4685,0.54
5,Opponent/G,,241.5,43.4,91.6,0.473,18.8,24.3,0.776,11.2,32.2,43.5,25.0,7.8,4.9,12.6,20.5,118.0,2023,12.5,34.5,0.361,30.9,57.1,0.54
6,Lg Rank,,18,26,28,15.0,20,22,11.0,26,7,17,10,22,19,28,8,24,2023,19,20,17.0,25,27,12.0
7,Year/Year,,0.4%,7.3%,2.7%,0.02,28.8%,25.8%,0.018,13.6%,1.7%,4.5%,6.8%,0.5%,15.1%,4.9%,0.9%,9.7%,2023,2.9%,-0.2%,0.011,9.1%,4.6%,0.023
